ID,SymbolValue,XCoord,YCoord,
coh10-28-1954,Canyon of Hero Marker,40.7085991,-74.0109024,
coh1-31-1955,Canyon of Hero Marker,40.7086983,-74.0109024,
coh3-1-1955,Canyon of Hero Marker,40.7088013,-74.0106964,
coh8-11-1955,Canyon of Hero Marker,40.7089005,-74.0106964,
coh12-9-1955,Canyon of Hero Marker,40.7089005,-74.0105972,
coh5-23-1956,Canyon of Hero Marker,40.7089996,-74.0105972,
coh5-2-1957,Canyon of Hero Marker,40.7089996,-74.0105972,
coh5-13-1957,Canyon of Hero Marker,40.7092018,-74.0103989,
coh7-2-1957,Canyon of Hero Marker,40.709301,-74.0102997,
coh10-21-1957,Canyon of Hero Marker,40.709301,-74.0102997,
coh6-20-1958,Canyon of Hero Marker,40.7094002,-74.0102997,
coh8-27-1958,Canyon of Hero Marker,40.7094002,-74.0102005,
coh2-10-1959,Canyon of Hero Marker,40.7094994,-74.0102005,
coh3-20-1959,Canyon of Hero Marker,40.7094994,-74.0101013,
coh9-11-1959,Canyon of Hero Marker,40.7095985,-74.0101013,
coh11-4-1959,Canyon of Hero Marker,40.7095985,-74.0100021,
coh3-9-1960,Canyon of Hero Marker,40.7097015,-74.0100021,
coh4-26-1960,Canyon of Hero Marker,40.7097015,-74.0100021,
coh5-2-1960,Canyon of Hero Marker,40.7098999,-74.0098038,
coh10-19-1960,Canyon of Hero Marker,40.7098999,-74.0098038,
coh11-2-1960,Canyon of Hero Marker,40.7099991,-74.0098038,
coh7-14-1961,Canyon of Hero Marker,40.7100983,-74.009697,
coh10-13-1961,Canyon of Hero Marker,40.7100983,-74.0095978,
coh3-1-1962,Canyon of Hero Marker,40.7100983,-74.0095978,
coh3-22-1962,Canyon of Hero Marker,40.7102013,-74.0095978,
coh5-25-1962,Canyon of Hero Marker,40.7102013,-74.0095978,
coh10-19-1978,Canyon of Hero Marker,40.7109985,-74.0087967,
coh1-30-1981,Canyon of Hero Marker,40.7111015,-74.0086975,
coh-intro,Canyon of Hero Marker,40.7047997,-74.0140991,
coh10-28-1886,Canyon of Hero Marker,40.7047997,-74.0140991,
coh5-9-1917,Canyon of Hero Marker,40.7048988,-74.0140991,
coh10-3-1919,Canyon of Hero Marker,40.7048988,-74.0140991,
coh10-19-1921,Canyon of Hero Marker,40.7048988,-74.0140991,
